Rk,Player,Squad,Age,Weekly Wages,Annual Wages
53,Kasper Schmeichel,Leicester City,34,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895)
54,Philippe Coutinho,Aston Villa,29,£ 125000 (€ 149071 $151903),£ 6500000 (€ 7751671 $7898938)
55,Rodri,Manchester City,25,£ 121154 (€ 144484 $147229),£ 6300000 (€ 7513158 $7655894)
56,Ben White,Arsenal,23,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
57,Donny van de Beek,Manchester Utd,24,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
58,Fred,Manchester Utd,28,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
59,Nemanja Matić,Manchester Utd,32,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
60,Victor Lindelöf,Manchester Utd,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
61,Christian Benteke,Crystal Palace,30,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
62,Alphonse Areola,West Ham,28,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
63,Kurt Zouma,West Ham,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
64,Alex Oxlade-Chamberlain,Liverpool,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
65,Naby Keïta,Liverpool,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
66,Danny Ings,Aston Villa,29,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
67,Bruno Guimarães,Newcastle Utd,23,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
68,Callum Hudson-Odoi,Chelsea,20,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
69,Malang Sarr,Chelsea,22,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
70,Yerry Mina,Everton,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
71,Aymeric Laporte,Manchester City,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
72,Riyad Mahrez,Manchester City,30,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
73,Andriy Yarmolenko,West Ham,31,£ 115000 (€ 137145 $139750),£ 5980000 (€ 7131537 $7267023)
74,André Gomes,Everton,28,£ 112308 (€ 133934 $136479),£ 5840000 (€ 6964578 $7096892)
75,Kieran Tierney,Arsenal,24,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
76,Dejan Kulusevski,Tottenham,21,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
77,James Maddison,Leicester City,24,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
78,Jorginho,Chelsea,29,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
